iter	Passed	Remaining
0	154	154010
1	305	152264
2	332	110635
3	385	95883
4	547	109003
5	710	117698
6	883	125387
7	1051	130382
8	1238	136337
9	1469	145469
10	1661	149361
11	1827	150503
12	2013	152840
13	2182	153698
14	2338	153552
15	2514	154671
16	2667	154229
17	2842	155083
18	2990	154407
19	3148	154253
20	3321	154833
21	3469	154254
22	3490	148286
23	3661	148897
24	3838	149710
25	4009	150186
26	4189	150966
27	4339	150646
28	4491	150391
29	4653	150469
30	4805	150196
31	4965	150199
32	5138	150582
33	5290	150324
34	5448	150212
35	5656	151479
36	5803	151054
37	5958	150833
38	6133	151135
39	6302	151268
40	6470	151347
41	6648	151646
42	6795	151250
43	6945	150916
44	7119	151082
45	7267	150723
46	7418	150418
47	7595	150634
48	7739	150202
49	7889	149900
50	8065	150075
51	8215	149776
52	8366	149492
53	8540	149608
54	8711	149673
55	8885	149783
56	9065	149986
57	9215	149675
58	9366	149388
59	9547	149570
60	9699	149307
61	9851	149041
62	10016	148968
63	10168	148720
64	10321	148474
65	10490	148457
66	10642	148207
67	10796	147981
68	10972	148043
69	11139	147994
70	11316	148074
71	11496	148182
72	11644	147866
73	11796	147611
74	11971	147650
75	12121	147366
76	12271	147101
77	12439	147041
78	12601	146907
79	12763	146776
80	12956	147002
81	13105	146720
82	13257	146466
83	13430	146458
84	13598	146385
85	13765	146301
86	13953	146436
87	14103	146164
88	14256	145928
89	14425	145861
90	14578	145624
91	14731	145396
92	14904	145354
93	15054	145098
94	15205	144852
95	15385	144877
96	15534	144614
97	15684	144363
98	15858	144332
99	16035	144317
100	16198	144183
101	16381	144223
102	16536	144009
103	16688	143776
104	16859	143710
105	17007	143439
106	17153	143161
107	17329	143126
108	17477	142868
109	17625	142604
110	17799	142553
111	17951	142327
112	18102	142097
113	18278	142057
114	18432	141847
115	18602	141761
116	18796	141856
117	18943	141592
118	19100	141408
119	19271	141320
120	19419	141071
121	19572	140856
122	19746	140790
123	19897	140564
124	20064	140448
125	20220	140258
126	20369	140019
127	20547	139976
128	20702	139784
129	20852	139553
130	21053	139660
131	21224	139567
132	21375	139343
133	21544	139234
134	21696	139017
135	21846	138791
136	22016	138689
137	22175	138517
138	22325	138289
