iter	Logloss
0	0.6655027094
1	0.6415469029
2	0.6230520623
3	0.6058328385
4	0.5900504382
5	0.5764445686
6	0.5644898912
7	0.5543679
8	0.5465987541
9	0.5395285106
10	0.531440262
11	0.5247613198
12	0.5193851718
13	0.5135836143
14	0.5094459714
15	0.5061277899
16	0.5023919311
17	0.5002925846
18	0.4978289618
19	0.4951116842
20	0.4929017051
21	0.4911292666
22	0.4890081545
23	0.4866569191
24	0.4838247903
25	0.4832277826
26	0.4814146043
27	0.479988397
28	0.4776620304
29	0.4745988878
30	0.4721223827
31	0.4689710097
32	0.4657997853
33	0.4636337871
34	0.4612559072
35	0.4594274369
36	0.4575893343
37	0.4569625381
38	0.4552427095
39	0.4539995508
40	0.4519795564
41	0.4512026957
42	0.4488978823
43	0.4478930452
44	0.4468258382
45	0.4446782352
46	0.443270744
47	0.4423664447
48	0.4414728339
49	0.4406667805
50	0.439364031
51	0.4383847504
52	0.4376561784
53	0.436422224
54	0.4351942911
55	0.4348288585
56	0.4334121712
57	0.4322251701
58	0.4311097194
59	0.4301852085
60	0.4294092896
61	0.4275917912
62	0.4269592799
63	0.4259435589
64	0.4252532274
65	0.4244862121
66	0.4244391458
67	0.4232201669
68	0.4228182594
69	0.4221892367
70	0.4215076094
71	0.4210364423
72	0.4195401457
73	0.4189079326
74	0.4181770198
75	0.4171944556
76	0.4163406095
77	0.4150532283
78	0.4142649778
79	0.4136783662
80	0.4129092916
81	0.4123078783
82	0.4114201414
83	0.4106627518
84	0.4099681113
85	0.4092155296
86	0.4086870917
87	0.4081189541
88	0.4076866326
89	0.4062926092
90	0.4057834609
91	0.4048543792
92	0.4045078671
93	0.4034347787
94	0.4026174718
95	0.4021459831
96	0.4014197941
97	0.4006866236
98	0.4002026992
99	0.3994043397
100	0.3984325222
101	0.3976654942
102	0.3967448393
103	0.3961810406
104	0.3959411532
105	0.3953489317
106	0.3953315315
107	0.3947599809
108	0.3940858286
109	0.3934492805
110	0.3926590014
111	0.3918322193
112	0.391367071
113	0.3907877452
114	0.3900379907
115	0.3895351579
116	0.3889564899
117	0.3880130087
118	0.3875600927
119	0.386883385
120	0.386236673
121	0.3857050026
122	0.3848634178
123	0.38413322
124	0.3829942089
125	0.3826507042
126	0.3818164777
127	0.3810900117
128	0.3806077168
129	0.3801721668
130	0.3795073544
131	0.3788692581
132	0.3779383092
133	0.3772253661
134	0.376772627
135	0.3764015743
136	0.3754089033
137	0.3750998285
138	0.3749511685
139	0.3746858114
140	0.374197664
141	0.3737134068
142	0.3730045718
143	0.372127958
144	0.371445977
145	0.3705014655
146	0.3699074872
147	0.3695329988
148	0.3688481605
149	0.3680336584
150	0.3672793103
151	0.3667138532
152	0.3663357932
153	0.3655432704
154	0.3648895761
155	0.3644795076
156	0.3639213748
157	0.3623746948
158	0.3617825039
159	0.3607712322
160	0.3603900932
161	0.3597914456
162	0.3589732608
163	0.3584114644
164	0.3580303046
165	0.3570908728
166	0.3567560645
167	0.3563587545
168	0.3560475032
169	0.3556634367
170	0.3550997194
171	0.3544078326
172	0.3538719841
173	0.3528003182
174	0.35243821
175	0.3519764309
176	0.3513717142
177	0.350933537
178	0.3501991491
179	0.3498329329
180	0.3492820854
181	0.3490301561
182	0.3484227223
183	0.348110782
184	0.3476080022
185	0.3470722092
186	0.3465598016
187	0.345795092
188	0.3454261119
189	0.3450682579
190	0.3441557794
191	0.3438357575
192	0.342891386
193	0.3424062405
194	0.3419323767
195	0.3412192429
196	0.3409721385
197	0.3405528775
198	0.3400123491
199	0.3394951017
200	0.3392910039
201	0.3387543116
202	0.3381324725
203	0.3377269626
204	0.3369777689
205	0.3365069956
206	0.3356401224
207	0.3352713716
208	0.3343869629
209	0.3339763651
210	0.3336233747
211	0.3333017343
212	0.3329682127
213	0.3323626525
214	0.3319230971
215	0.3310679906
216	0.3306209403
217	0.330301953
218	0.3297405857
219	0.3295165776
220	0.3287645763
221	0.327910592
222	0.3271104129
223	0.3267653991
224	0.3262192569
225	0.3253550115
226	0.3251234968
227	0.324463398
228	0.3238800877
229	0.3232182453
230	0.3226235769
231	0.321973649
232	0.3215702913
233	0.321043439
234	0.3201148172
235	0.3196353776
236	0.3191862624
237	0.3185911904
238	0.3180469065
239	0.3177304519
240	0.3174464397
241	0.3171407539
242	0.3170707599
243	0.3163444377
244	0.3159854332
245	0.3156791332
246	0.3154414927
247	0.3152131145
248	0.3148653357
249	0.3143100718
250	0.3138412193
251	0.3135341622
252	0.3131859425
253	0.3127552662
254	0.3124532351
255	0.3122337762
256	0.3121311001
257	0.3114124945
258	0.3103873041
259	0.310064049
260	0.3097363182
261	0.309188963
262	0.3089540168
263	0.3085605931
264	0.3078590787
265	0.3075597366
266	0.3072503806
267	0.3067497422
268	0.3063399164
269	0.3056235159
270	0.3054936423
271	0.3053421906
272	0.3046304734
273	0.3040062723
274	0.3036779713
275	0.3034134855
276	0.3032925792
277	0.3029359762
278	0.3021807664
279	0.3015379104
280	0.3011738937
281	0.3005006125
282	0.300084892
283	0.2997418653
284	0.2993555397
285	0.2990261837
286	0.2987829871
287	0.2980871966
