iter	Passed	Remaining
0	207	207472
1	456	227616
2	500	166355
3	709	176772
4	941	187320
5	1137	188516
6	1371	194614
7	1611	199825
8	1805	198838
9	2015	199549
10	2186	196551
11	2364	194668
12	2584	196223
13	2806	197622
14	3038	199507
15	3319	204145
16	3546	205095
17	3732	203609
18	3951	204003
19	4134	202572
20	4311	200996
21	4529	201336
22	4784	203234
23	4955	201533
24	5134	200251
25	5293	198299
26	5448	196345
27	5644	195951
28	5812	194608
29	5963	192822
30	6135	191787
31	6281	190024
32	6435	188583
33	6631	188405
34	6795	187362
35	6965	186511
36	7197	187337
37	7359	186314
38	7508	185009
39	7695	184692
40	7838	183336
41	7993	182335
42	8187	182209
43	8339	181185
44	8492	180238
45	8695	180330
46	8874	179934
47	9037	179238
48	9233	179214
49	9413	178852
50	9591	178477
51	9792	178517
52	9964	178040
53	10140	177650
54	10338	177637
55	10510	177175
56	10678	176656
57	10864	176462
58	11011	175628
59	11157	174800
60	11333	174457
61	11481	173698
62	11631	172993
63	11812	172759
64	11994	172531
65	12158	172059
66	12327	171668
67	12476	171005
68	12619	170274
69	12793	169975
70	12937	169280
71	13090	168720
72	13279	168629
73	13428	168038
74	13577	167458
75	13744	167098
76	13888	166484
77	14031	165857
78	14211	165684
79	14399	165596
80	14558	165173
81	14730	164905
82	14875	164346
83	15017	163762
84	15188	163497
85	15338	163012
86	15485	162512
87	15652	162214
88	15802	161753
89	15949	161267
90	16117	160994
91	16267	160555
92	16410	160042
93	16598	159982
94	16777	159829
95	16930	159429
96	17112	159300
97	17263	158891
98	17409	158442
99	17583	158248
100	17736	157876
101	17883	157445
102	18046	157159
103	18191	156724
104	18338	156317
105	18503	156059
106	18655	155692
107	18804	155313
108	18987	155213
109	19163	155047
110	19316	154709
111	19485	154488
112	19641	154176
113	19787	153790
114	19953	153553
115	20098	153161
116	20248	152812
117	20415	152593
118	20558	152203
119	20705	151842
120	20870	151611
121	21017	151260
122	21174	150973
123	21373	150990
124	21541	150787
125	21711	150600
126	21900	150547
127	22076	150397
128	22244	150190
129	22429	150105
130	22612	150002
131	22807	149974
132	23019	150056
133	23181	149817
134	23354	149639
135	23539	149546
136	23717	149402
137	23907	149333
138	24094	149249
139	24253	148987
140	24418	148761
141	24592	148594
142	24742	148281
143	24890	147957
144	25100	148003
145	25257	147736
146	25407	147430
147	25577	147241
148	25753	147088
149	25913	146843
150	26110	146804
151	26262	146517
152	26413	146224
153	26582	146029
154	26731	145727
155	26878	145421
156	27050	145246
157	27203	144969
158	27371	144774
159	27559	144688
160	27706	144386
161	27852	144074
162	28029	143929
163	28179	143649
164	28331	143374
165	28513	143256
166	28667	142992
167	28816	142708
168	28997	142582
169	29159	142366
170	29317	142128
171	29493	141981
172	29655	141765
173	29847	141687
174	30064	141732
175	30214	141458
176	30363	141182
177	30540	141036
178	30699	140803
179	30873	140645
180	31062	140552
181	31237	140395
182	31399	140184
183	31590	140096
184	31758	139909
185	31912	139659
186	32101	139565
187	32276	139408
188	32433	139170
189	32613	139035
190	32761	138765
191	32908	138489
192	33075	138302
193	33227	138048
194	33374	137778
195	33546	137609
196	33695	137346
197	33860	137152
198	34052	137067
199	34214	136858
200	34398	136737
201	34599	136685
202	34768	136503
203	34916	136243
204	35087	136071
205	35228	135783
206	35382	135547
207	35555	135385
208	35707	135142
209	35851	134870
210	36022	134701
211	36177	134470
212	36339	134269
213	36536	134194
214	36699	133994
215	36881	133864
216	37081	133800
217	37244	133603
218	37412	133420
219	37590	133275
220	37761	133105
221	37919	132888
222	38094	132732
223	38251	132515
224	38413	132311
225	38594	132179
226	38750	131957
227	38909	131745
228	39102	131652
229	39292	131544
230	39472	131403
231	39649	131252
232	39796	131002
233	39953	130787
234	40133	130648
235	40302	130471
236	40460	130259
237	40640	130117
238	40800	129911
239	40958	129702
240	41127	129525
241	41292	129337
242	41448	129121
243	41660	129079
244	41837	128927
245	41995	128718
246	42169	128557
247	42329	128353
248	42476	128110
249	42646	127939
250	42787	127681
251	42926	127416
252	43083	127206
253	43226	126957
254	43378	126734
255	43547	126560
256	43699	126336
257	43851	126114
258	44069	126083
259	44235	125901
260	44391	125689
261	44571	125549
262	44727	125340
263	44879	125118
264	45065	124993
265	45219	124779
266	45372	124563
267	45546	124404
268	45698	124183
269	45848	123961
270	46023	123805
271	46183	123607
272	46372	123489
273	46570	123394
274	46719	123169
275	46869	122947
276	47049	122804
277	47210	122610
278	47372	122421
279	47561	122300
280	47722	122108
281	47880	121908
282	48066	121778
283	48224	121580
284	48382	121380
285	48576	121271
286	48756	121126
287	48937	120983
288	49116	120837
289	49264	120612
290	49408	120378
291	49573	120198
292	49716	119965
293	49862	119738
294	50028	119560
295	50174	119333
296	50316	119099
297	50480	118916
298	50618	118674
299	50759	118438
300	50919	118249
301	51103	118112
302	51308	118027
303	51485	117873
304	51632	117654
305	51810	117504
306	51981	117338
307	52124	117111
308	52270	116890
309	52461	116770
310	52608	116550
311	52753	116327
312	52915	116142
313	53061	115924
314	53207	115704
315	53378	115541
316	53571	115423
317	53729	115230
318	53896	115057
319	54048	114853
320	54200	114647
321	54365	114471
322	54512	114256
323	54668	114062
324	54856	113933
325	55010	113732
326	55164	113534
327	55351	113402
328	55545	113286
329	55710	113109
330	55940	113064
331	56119	112914
332	56276	112721
333	56450	112562
334	56599	112354
335	56748	112146
336	56918	111979
337	57061	111760
338	57208	111548
339	57374	111373
340	57520	111161
341	57666	110948
342	57844	110798
343	57991	110587
344	58145	110391
345	58357	110306
346	58510	110107
347	58655	109894
348	58865	109802
349	59022	109613
350	59170	109406
351	59330	109221
352	59474	109008
353	59609	108778
354	59775	108605
355	59922	108399
356	60065	108184
357	60234	108018
358	60390	107827
359	60555	107654
360	60739	107514
361	60889	107313
362	61037	107109
363	61205	106940
364	61366	106761
365	61507	106545
366	61670	106368
367	61817	106164
368	61959	105952
369	62115	105763
370	62264	105564
371	62413	105364
372	62584	105202
373	62733	105003
374	62889	104816
375	63092	104706
376	63254	104528
377	63407	104337
378	63571	104163
379	63721	103967
380	63867	103764
381	64031	103589
382	64177	103387
383	64319	103179
384	64487	103012
385	64632	102809
386	64775	102602
387	64940	102431
388	65083	102226
389	65236	102036
390	65440	101925
391	65598	101743
392	65747	101549
393	65918	101387
394	66062	101184
395	66209	100986
396	66372	100813
397	66512	100604
398	66658	100405
399	66818	100227
400	66964	100029
401	67108	99827
402	67275	99660
403	67419	99459
404	67574	99276
405	67771	99153
406	67925	98968
407	68069	98766
408	68241	98607
409	68385	98408
410	68535	98217
411	68719	98075
412	68869	97884
413	69011	97683
414	69175	97512
415	69322	97317
416	69467	97121
417	69651	96978
418	69787	96769
419	69933	96575
420	70135	96456
421	70292	96276
422	70436	96079
423	70604	95915
424	70748	95718
425	70896	95527
426	71059	95356
427	71208	95165
428	71349	94966
429	71512	94795
430	71659	94603
431	71795	94398
432	71958	94227
433	72096	94024
434	72243	93833
435	72465	93739
